 Absidia glauca
 Kwoniella heveanensis_cbs_569
 Kwoniella mangroviensis_cbs_10435
 Kwoniella mangroviensis_cbs_8507
 Kwoniella mangroviensis_cbs_8886
 Kwoniella pini_cbs_10737
 Laccaria amethystina_laam_08_1
 Laccaria bicolor_s238n_h82
 Lachancea dasiensis_cbs_10888
 Lachancea fermentati
 Lachancea lanzarotensis
 Lachancea meyersii_cbs_8951
 Lachancea mirantina
 Lachancea nothofagi_cbs_11611
 Lachancea sp_cbs_6924
 Lachancea thermotolerans_cbs_6340
 Laetiporus sulphureus_93_53
 Lentinula edodes
 Leptosphaeria maculans
 Leucoagaricus sp_symc_cos
 Lichtheimia corymbifera_jmrc_fsu_9682
 Lichtheimia ramosa
 Lipomyces starkeyi_nrrl_y_11557
 Lodderomyces elongisporus_nrrl_yb_4239
 Macrophomina phaseolina_ms6
 Madurella mycetomatis
 Magnaporthe oryzae
 Magnaporthe poae
 Malassezia pachydermatis
 Malassezia sympodialis_atcc_42132
 Malassezia sympodialis_atcc_42132_gca_900149145
 Marssonina brunnea_f_sp_multigermtubi_mb_m1
 Melampsora laricipopulina
 Metarhizium acridum_cqma_102
 Metarhizium album_arsef_1941
 Metarhizium anisopliae
 Metarhizium anisopliae_arsef_23
 Metarhizium anisopliae_arsef_549
 Metarhizium anisopliae_brip_53284
 Metarhizium anisopliae_brip_53293
 Metarhizium brunneum_arsef_3297
 Metarhizium guizhouense_arsef_977
 Metarhizium majus_arsef_297
 Metarhizium rileyi_rcef_4871
 Metarhizium robertsii
 Metschnikowia bicuspidata_var_bicuspidata_nrrl_yb_4993
 Meyerozyma guilliermondii_atcc_6260
 Microbotryum violaceum
 Microdochium bolleyi
 Millerozyma farinosa_cbs_7064
 Mitosporidium daphniae
 Mixia osmundae_iam_14324
 Mixia osmundae_iam_14324_gca_000708205
 Moesziomyces antarcticus
 Moesziomyces aphidis_dsm_70725
 Moniliophthora perniciosa_fa553
 Moniliophthora roreri
 Moniliophthora roreri_mca_2997
 Mortierella elongata_ag_77
 Mortierella verticillata_nrrl_6337
 Mucor ambiguus
 Mucor circinelloides_f_circinelloides_1006phl
 Mucor circinelloides_f_lusitanicus_cbs_277_49
 Mycosphaerella eumusae
 Nadsonia fulvescens_var_elongata_dsm_6958
 Nannizzia gypsea_cbs_118893
 Naumovozyma castellii_cbs_4309
 Naumovozyma dairenensis_cbs_421
 Nematocida displodere
 Nematocida parisii_ertm1
 Nematocida parisii_ertm3
 Nematocida sp_1_ertm2
 Nematocida sp_1_ertm6
 Nematocida sp_ertm5
 Neofusicoccum parvum_ucrnp2
 Neolecta irregularis_dah_3
 Neolentinus lepideus_hhb14362_ss_1
 Neonectria ditissima
 Neosartorya fischeri
 Neurospora crassa
 Neurospora crassa_gca_000786625
 Neurospora tetrasperma_fgsc_2508
 Neurospora tetrasperma_fgsc_2509
 Nosema apis_brl_01
 Nosema bombycis_cq1
 Nosema ceranae
 Nosema ceranae_brl01
 Ogataea parapolymorpha_dl_1
 Ogataea polymorpha
 Oidiodendron maius_zn
 Ophiocordyceps sinensis_co18
 Ophiocordyceps unilateralis
 Ophiostoma piceae_uamh_11346
 Ordospora colligata_oc4
 Pachysolen tannophilus_nrrl_y_2460
 Paracoccidioides brasiliensis
 Paracoccidioides brasiliensis_gca_001713695
 Paracoccidioides brasiliensis_pb03
 Paracoccidioides brasiliensis_pb18
 Paracoccidioides sp_lutzii_pb01
 Paraphaeosphaeria sporulosa
 Parasitella parasitica
 Paxillus involutus_atcc_200175
 Paxillus rubicundulus_ve08_2h10
 Penicilliopsis zonata_cbs_506_65
 Penicillium antarcticum
 Penicillium arizonense
 Penicillium brasilianum
 Penicillium brasilianum_gca_002016555
 Penicillium camemberti_fm_013
 Penicillium chrysogenum
 Penicillium coprophilum
 Penicillium decumbens
 Penicillium digitatum_pd1
 Penicillium digitatum_phi26
 Penicillium expansum
 Penicillium expansum_gca_000769735
 Penicillium expansum_gca_000769745
 Penicillium flavigenum
 Penicillium freii
 Penicillium griseofulvum
 Penicillium italicum
 Penicillium nalgiovense
 Penicillium nordicum
 Penicillium oxalicum_114_2
 Penicillium polonicum
 Penicillium roqueforti_fm164
 Penicillium rubens_wisconsin_54_1255
 Penicillium solitum
 Penicillium steckii
 Penicillium subrubescens
 Penicillium vulpinum
 Peniophora sp_cont
 Pestalotiopsis fici_w106_1
 Phaeoacremonium minimum_ucrpa7
 Phaeomoniella chlamydospora
 Phaeosphaeria nodorum
 Phanerochaete carnosa_hhb_10118_sp
 Phialocephala scopiformis
 Phialocephala subalpina
 Phialophora americana
 Phialophora attae
 Phlebia centrifuga
 Phlebiopsis gigantea_11061_1_cr5_6
 Phycomyces blakesleeanus_nrrl_1555_
 Pichia kudriavzevii
 Pichia kudriavzevii_gca_001983325
 Pichia membranifaciens
 Pichia membranifaciens_nrrl_y_2026
 Piloderma croceum_f_1598
 Pisolithus microcarpus_441
 Pisolithus tinctorius_marx_270
 Pleurotus ostreatus_pc15
 Plicaturopsis crispa_fd_325_ss_3
 Pneumocystis carinii_b80
 Pneumocystis jirovecii_ru7
 Pneumocystis murina_b123
 Pochonia chlamydosporia_170
 Podospora anserina_s_mat_
 Postia placenta_mad_698_r
 Pseudocercospora fijiensis_cirad86
 Pseudocercospora musae
 Pseudogymnoascus destructans
 Pseudogymnoascus destructans_20631_21
 Pseudogymnoascus sp_03vt05
 Pseudogymnoascus sp_05ny08
 Pseudogymnoascus sp_23342_1_i1
 Pseudogymnoascus sp_24mn13
 Pseudogymnoascus sp_vkm_f_103
 Pseudogymnoascus sp_vkm_f_3557
 Pseudogymnoascus sp_vkm_f_3775
 Pseudogymnoascus sp_vkm_f_3808
 Pseudogymnoascus sp_vkm_f_4246
 Pseudogymnoascus sp_vkm_f_4281_fw_2241_
 Pseudogymnoascus sp_vkm_f_4513_fw_928_
 Pseudogymnoascus sp_vkm_f_4514_fw_929_
 Pseudogymnoascus sp_vkm_f_4515_fw_2607_
 Pseudogymnoascus sp_vkm_f_4516_fw_969_
 Pseudogymnoascus sp_vkm_f_4517_fw_2822_
 Pseudogymnoascus sp_vkm_f_4518_fw_2643_
 Pseudogymnoascus sp_vkm_f_4519_fw_2642_
 Pseudogymnoascus sp_vkm_f_4520_fw_2644_
 Pseudogymnoascus sp_wsf_3629
 Pseudogymnoascus verrucosus
 Pseudoloma neurophilia
 Pseudozyma hubeiensis_sy62
 Puccinia graminis
 Puccinia graminisug99
 Puccinia sorghi
 Puccinia striiformis
 Puccinia striiformis_f_sp_tritici_pst_78
 Puccinia triticina
 Punctularia strigosozonata_hhb_11173_ss5
 Purpureocillium lilacinum
 Purpureocillium lilacinum_gca_001653265
 Pyrenochaeta sp_ds3say3a
 Pyrenophora teres
 Pyrenophora triticirepentis
 Pyronema omphalodes_cbs_100304
 Rachicladosporium antarcticum
 Rasamsonia emersonii_cbs_393_64
 Rhinocladiella mackenziei_cbs_650_93
 Rhizoctonia solani
 Rhizoctonia solani_123e
 Rhizoctonia solani_ag_1_ia
 Rhizoctonia solani_ag_1_ib
