#code	taxid	primary taxid	taxname
1	1382522	1382522	Kuraishia capsulata CBS 1993
1	1296100	1296100	Kwoniella bestiolae CBS 10118
1	1296121	1296121	Kwoniella dejecticola CBS 10117
1	1296120	1296120	Kwoniella heveanensis BCC8398
1	1296119	1296119	Kwoniella heveanensis CBS 569
1	1331196	1331196	Kwoniella mangroviensis CBS 10435
1	1296122	1296122	Kwoniella mangroviensis CBS 8507
1	1296123	1296123	Kwoniella mangroviensis CBS 8886
1	1296096	1296096	Kwoniella pini CBS 10737
1	1095629	1095629	Laccaria amethystina LaAM-08-1
1	486041	486041	Laccaria bicolor S238N-H82
1	1266660	1266660	Lachancea dasiensis CBS 10888
1	4955	4955	Lachancea fermentati
1	1245769	1245769	Lachancea lanzarotensis
1	1266667	1266667	Lachancea meyersii CBS 8951
1	1230905	1230905	Lachancea mirantina
1	1266666	1266666	Lachancea nothofagi CBS 11611
1	433476	433476	Lachancea sp. CBS 6924
1	559295	559295	Lachancea thermotolerans CBS 6340
1	1314785	1314785	Laetiporus sulphureus 93-53
1	5353	5353	Lentinula edodes
1	985895	985895	Leptosphaeria maculans JN3
1	1714833	1714833	Leucoagaricus sp. SymC.cos
1	1263082	1263082	Lichtheimia corymbifera JMRC:FSU:9682
1	688394	688394	Lichtheimia ramosa
1	675824	675824	Lipomyces starkeyi NRRL Y-11557
1	379508	379508	Lodderomyces elongisporus NRRL YB-4239
1	1126212	1126212	Macrophomina phaseolina MS6
1	100816	100816	Madurella mycetomatis
1	242507	242507	Magnaporthe oryzae 70-15
1	644358	644358	Magnaporthiopsis poae ATCC 64411
1	77020	77020	Malassezia pachydermatis
1	1230383	1230383	Malassezia sympodialis ATCC 42132
1	1230383	1230383	Malassezia sympodialis ATCC 42132
1	1072389	1072389	Marssonina brunnea f. sp. 'multigermtubi' MB_m1
1	747676	747676	Melampsora larici-populina 98AG31
1	655827	655827	Metarhizium acridum CQMa 102
1	1081103	1081103	Metarhizium album ARSEF 1941
1	655844	655844	Metarhizium robertsii ARSEF 23
1	1276135	1276135	Metarhizium anisopliae ARSEF 549
1	1291519	1291519	Metarhizium anisopliae BRIP 53284
1	1291518	1291518	Metarhizium anisopliae BRIP 53293
1	5530	5530	Metarhizium anisopliae
1	1276141	1276141	Metarhizium brunneum ARSEF 3297
1	1276136	1276136	Metarhizium guizhouense ARSEF 977
1	1276143	1276143	Metarhizium majus ARSEF 297
1	1081105	1081105	Metarhizium rileyi RCEF 4871
1	568076	568076	Metarhizium robertsii
1	869754	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
1	294746	294746	Meyerozyma guilliermondii ATCC 6260
1	683840	683840	Microbotryum lychnidis-dioicae p1A1 Lamole
1	196109	196109	Microdochium bolleyi
1	559304	559304	Millerozyma farinosa CBS 7064
1	1485682	1485682	Mitosporidium daphniae
1	764103	764103	Mixia osmundae IAM 14324
1	764103	764103	Mixia osmundae IAM 14324
1	84753	84753	Moesziomyces antarcticus
1	1391700	1391700	Moesziomyces aphidis DSM 70725
1	554373	554373	Moniliophthora perniciosa FA553
1	221103	221103	Moniliophthora roreri
1	1381753	1381753	Moniliophthora roreri MCA 2997
1	1314771	1314771	Mortierella elongata AG-77
1	1069443	1069443	Mortierella verticillata NRRL 6337
1	91626	91626	Mucor ambiguus
1	1220926	1220926	Mucor circinelloides f. circinelloides 1006PhL
1	747725	747725	Mucor circinelloides f. lusitanicus CBS 277.49
1	321146	321146	Mycosphaerella eumusae
1	857566	857566	Nadsonia fulvescens var. elongata DSM 6958
1	535722	535722	Nannizzia gypsea CBS 118893
1	1064592	1064592	Naumovozyma castellii CBS 4309
1	1071378	1071378	Naumovozyma dairenensis CBS 421
1	1805483	1805483	Nematocida displodere
1	881290	881290	Nematocida parisii ERTm1
1	935791	935791	Nematocida parisii ERTm3
1	944018	944018	Nematocida sp. 1 ERTm2
1	1138374	1138374	Nematocida sp. 1 ERTm6
1	1805481	1805481	Nematocida sp. ERTm5
1	1287680	1287680	Neofusicoccum parvum UCRNP2
1	1198029	1198029	Neolecta irregularis DAH-3
1	1314782	1314782	Neolentinus lepideus HHB14362 ss-1
1	78410	78410	Neonectria ditissima
1	331117	331117	Aspergillus fischeri NRRL 181
1	5141	5141	Neurospora crassa
1	367110	367110	Neurospora crassa OR74A
1	510951	510951	Neurospora tetrasperma FGSC 2508
1	510952	510952	Neurospora tetrasperma FGSC 2509
1	1037528	1037528	Nosema apis BRL 01
1	578461	578461	Nosema bombycis CQ1
1	40302	40302	Nosema ceranae
1	578460	578460	Nosema ceranae BRL01
1	871575	871575	Ogataea parapolymorpha DL-1
1	460523	460523	Ogataea polymorpha
1	913774	913774	Oidiodendron maius Zn
1	911162	911162	Ophiocordyceps sinensis CO18
1	268505	268505	Ophiocordyceps unilateralis
1	1262450	1262450	Ophiostoma piceae UAMH 11346
1	1354746	1354746	Ordospora colligata OC4
1	669874	669874	Pachysolen tannophilus NRRL Y-2460
1	121759	121759	Paracoccidioides brasiliensis
1	121759	121759	Paracoccidioides brasiliensis
1	482561	482561	Paracoccidioides brasiliensis Pb03
1	502780	502780	Paracoccidioides brasiliensis Pb18
1	502779	502779	Paracoccidioides lutzii Pb01
1	1460663	1460663	Paraphaeosphaeria sporulosa
1	35722	35722	Parasitella parasitica
1	664439	664439	Paxillus involutus ATCC 200175
1	930991	930991	Paxillus rubicundulus Ve08.2h10
1	1073090	1073090	Penicilliopsis zonata CBS 506.65
1	416450	416450	Penicillium antarcticum
1	1835702	1835702	Penicillium arizonense
1	104259	104259	Penicillium brasilianum
1	104259	104259	Penicillium brasilianum
1	1429867	1429867	Penicillium camemberti FM 013
1	5076	5076	Penicillium chrysogenum
1	36646	36646	Penicillium coprophilum
1	69771	69771	Penicillium decumbens
1	1170230	1170230	Penicillium digitatum Pd1
1	1170229	1170229	Penicillium digitatum PHI26
1	27334	27334	Penicillium expansum
1	27334	27334	Penicillium expansum
1	27334	27334	Penicillium expansum
1	254877	254877	Penicillium flavigenum
1	48697	48697	Penicillium freii
1	5078	5078	Penicillium griseofulvum
1	40296	40296	Penicillium italicum
1	60175	60175	Penicillium nalgiovense
1	229535	229535	Penicillium nordicum
1	933388	933388	Penicillium oxalicum 114-2
1	60169	60169	Penicillium polonicum
1	1365484	1365484	Penicillium roqueforti FM164
1	500485	500485	Penicillium rubens Wisconsin 54-1255
1	60172	60172	Penicillium solitum
1	303698	303698	Penicillium steckii
1	1316194	1316194	Penicillium subrubescens
1	29845	29845	Penicillium vulpinum
1	1314672	1314672	Peniophora sp. CONT
1	1229662	1229662	Pestalotiopsis fici W106-1
1	1286976	1286976	Phaeoacremonium minimum UCRPA7
1	158046	158046	Phaeomoniella chlamydospora
1	321614	321614	Parastagonospora nodorum SN15
1	650164	650164	Phanerochaete carnosa HHB-10118-sp
1	149040	149040	Phialocephala scopiformis
1	576137	576137	Phialocephala subalpina
1	5601	5601	Phialophora americana
1	1664694	1664694	Phialophora attae
1	98765	98765	Phlebia centrifuga
1	745531	745531	Phlebiopsis gigantea 11061_1 CR5-6
1	763407	763407	Phycomyces blakesleeanus NRRL 1555(-)
1	4909	4909	Pichia kudriavzevii
1	4909	4909	Pichia kudriavzevii
1	763406	763406	Pichia membranifaciens NRRL Y-2026
1	4926	4926	Pichia membranifaciens
1	765440	765440	Piloderma croceum F 1598
1	765257	765257	Pisolithus microcarpus 441
1	870435	870435	Pisolithus tinctorius Marx 270
1	1137138	1137138	Pleurotus ostreatus PC15
1	944288	944288	Plicaturopsis crispa FD-325 SS-3
1	1408658	1408658	Pneumocystis carinii B80
1	1408657	1408657	Pneumocystis jirovecii RU7
1	1069680	1069680	Pneumocystis murina B123
1	1380566	1380566	Pochonia chlamydosporia 170
1	515849	515849	Podospora anserina S mat+
1	561896	561896	Postia placenta Mad-698-R
1	383855	383855	Pseudocercospora fijiensis CIRAD86
1	113226	113226	Pseudocercospora musae
1	658429	658429	Pseudogymnoascus destructans 20631-21
1	655981	655981	Pseudogymnoascus destructans
1	1622148	1622148	Pseudogymnoascus sp. 03VT05
1	1622149	1622149	Pseudogymnoascus sp. 05NY08
1	1524831	1524831	Pseudogymnoascus sp. 23342-1-I1
1	1622150	1622150	Pseudogymnoascus sp. 24MN13
1	1420912	1420912	Pseudogymnoascus sp. VKM F-103
1	1437433	1437433	Pseudogymnoascus sp. VKM F-3557
1	1420901	1420901	Pseudogymnoascus sp. VKM F-3775
1	1391699	1391699	Pseudogymnoascus sp. VKM F-3808
1	1420902	1420902	Pseudogymnoascus sp. VKM F-4246
1	1420906	1420906	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
1	1420907	1420907	Pseudogymnoascus sp. VKM F-4513 (FW-928)
1	1420908	1420908	Pseudogymnoascus sp. VKM F-4514 (FW-929)
1	1420909	1420909	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
1	1420910	1420910	Pseudogymnoascus sp. VKM F-4516 (FW-969)
1	1420911	1420911	Pseudogymnoascus sp. VKM F-4517 (FW-2822)
1	1420913	1420913	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
1	1420914	1420914	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
1	1420915	1420915	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
1	1622147	1622147	Pseudogymnoascus sp. WSF 3629
1	342668	342668	Pseudogymnoascus verrucosus
1	146866	146866	Pseudoloma neurophilia
1	1305764	1305764	Pseudozyma hubeiensis SY62
1	418459	418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3
1	1040990	1040990	Puccinia graminis f. sp. tritici 04KEN156/4
1	27349	27349	Puccinia sorghi
1	1165861	1165861	Puccinia striiformis f. sp. tritici PST-78
1	875184	875184	Puccinia striiformis f. sp. tritici PST-130
1	630390	630390	Puccinia triticina 1-1 BBBD Race 1
1	741275	741275	Punctularia strigosozonata HHB-11173 SS5
1	33203	33203	Purpureocillium lilacinum
1	33203	33203	Purpureocillium lilacinum
1	765867	765867	Pyrenochaeta sp. DS3sAY3a
1	861557	861557	Pyrenophora teres f. teres 0-1
1	426418	426418	Pyrenophora tritici-repentis Pt-1C-BFP
1	1076935	1076935	Pyronema omphalodes CBS 100304
1	1507870	1507870	Rachicladosporium antarcticum
1	1408163	1408163	Rasamsonia emersonii CBS 393.64
1	1442369	1442369	Rhinocladiella mackenziei CBS 650.93
1	1423351	1423351	Rhizoctonia solani 123E
1	983506	983506	Rhizoctonia solani AG-1 IA
1	1108050	1108050	Rhizoctonia solani AG-1 IB
1	456999	456999	Rhizoctonia solani
1	1086054	1086054	Rhizoctonia solani AG-3 Rhs1AP
1	1287689	1287689	Rhizoctonia solani AG-8 WAC10335
1	747089	747089	Rhizophagus irregularis DAOM 181602=DAOM 197198
1	1432141	1432141	Rhizophagus irregularis DAOM 197198w
1	180088	180088	Rhizopogon vesiculosus
1	1314800	1314800	Rhizopogon vinicolor AM-OR11-026
1	246409	246409	Rhizopus delemar RA 99-880
1	58291	58291	Rhizopus microsporus
1	86635	86635	Rhizopus microsporus var. microsporus
1	578459	578459	Rhodotorula graminis WP1
1	1305733	1305733	Rhodotorula sp. JG-1b
1	1001064	1001064	Rhodotorula toruloides ATCC 204091
1	5286	5286	Rhodotorula toruloides
1	1130832	1130832	Rhodotorula toruloides NP11
1	914238	914238	Rhynchosporium agropyri
1	914237	914237	Rhynchosporium commune
1	38038	38038	Rhynchosporium secalis
1	988480	988480	Rozella allomycis CSF55
1	1160507	1160507	Saccharomyces arboricola H-6
1	764097	764097	Saccharomyces cerevisiae AWRI796
1	889517	889517	Saccharomyces cerevisiae CEN.PK113-7D
1	643680	643680	Saccharomyces cerevisiae EC1118
