#code	taxid	primary taxid	taxname
1	1182541	1182541	Capronia coronata CBS 617.96
1	1182542	1182542	Capronia epimyces CBS 606.96
1	5601	5601	Phialophora americana
1	109876	109876	Catenaria anguillulae
1	1555241	1555241	Caulochytrium protostelioides
1	1555241	1555241	Caulochytrium protostelioides
1	794803	794803	Cenococcum geophilum 1.58
1	43958	43958	Cephaloascus albidus
1	27311	27311	Cephaloascus fragrans
1	1522189	1522189	Ceraceosorus guamensis
1	305860	305860	Ceratobasidium sp. AG-I
1	314043	314043	Cercophora caudata
1	92897	92897	Cercophora newfieldiana
1	314031	314031	Cercophora scortea
1	717836	717836	Cercospora zeae-maydis SCOH1-5
1	1175230	1175230	Cerinomyces ceraceus
1	914234	914234	Gelatoporia subvermispora B
1	1142151	1142151	Cerrena unicolor 303
1	1854472	1854472	Chaetomium fimeti
1	306901	306901	Chaetomium globosum CBS 148.51
1	139949	139949	Chaetosphaeria innumera
1	1379296	1379296	Chalara longipes BDJ
1	54742	54742	Chionosphaera apobasidialis
1	180810	180810	Chionosphaera cuniculicola
1	1336337	1336337	Choiromyces venosus 120613-1
1	64509	64509	Chytridium lagenaria
1	1882861	1882861	Chytriomyces sp. MP71
1	101103	101103	Circinella umbellata
1	1437435	1437435	Cladochytrium polystomum
1	27339	27339	Cladonia grayi
1	1442370	1442370	Cladophialophora bantiana CBS 173.52
1	1279043	1279043	Cladophialophora carrionii CBS 160.54
1	569365	569365	Cladophialophora immunda
1	1182543	1182543	Cladophialophora psammophila CBS 110553
1	1182544	1182544	Cladophialophora yegresii CBS 114405
1	585595	585595	Cladorrhinum bulbillosum
1	5499	5499	Passalora fulva
1	92950	92950	Cladosporium sphaerospermum
1	706981	706981	Clathrospora elynae
1	48021	48021	Artomyces pyxidatus
1	306902	306902	Clavispora lusitaniae ATCC 42720
1	1486700	1486700	Clavulina sp. PMI_390
1	239101	239101	Climacocystis borealis
1	378275	378275	Infundibulicybe gibba
1	1231657	1231657	Clohesyomyces aquaticus
1	29856	29856	Clonostachys rosea
1	246410	246410	Coccidioides immitis RS
1	54530	54530	Coccodinium bartschii
1	380015	380015	Coccomyces strobi
1	930089	930089	Bipolaris zeicola 26-R-13
1	5016	5016	Bipolaris maydis
1	701091	701091	Bipolaris maydis C5
1	977863	977863	Curvularia lunata m118
1	930090	930090	Bipolaris oryzae ATCC 44560
1	665912	665912	Bipolaris sorokiniana ND90Pr
1	930091	930091	Bipolaris victoriae FI3
1	4864	4864	Coemansia mojavensis
1	763665	763665	Coemansia reversa NRRL 1564
1	417178	417178	Coemansia spiralis
1	90255	90255	Cokeromyces recurvatus
1	27357	27357	Colletotrichum acutatum
1	5460	5460	Colletotrichum caudatum
1	343994	343994	Colletotrichum cereale
1	1173702	1173702	Colletotrichum eremochloae
1	129314	129314	Colletotrichum falcatum
1	1445577	1445577	Colletotrichum fioriniae PJ7
1	1209918	1209918	Colletotrichum godetiae
1	645133	645133	Colletotrichum graminicola M1.001
1	759273	759273	Colletotrichum higginsianum IMI 349063
1	145971	145971	Colletotrichum lupini
1	681940	681940	Colletotrichum navitas
1	1460502	1460502	Colletotrichum nymphaeae SA-01
1	1209926	1209926	Colletotrichum orchidophilum
1	359342	359342	Colletotrichum phormii
1	1209931	1209931	Colletotrichum salicis
1	703756	703756	Colletotrichum simmondsii
1	1500509	1500509	Colletotrichum somersetense
1	1173701	1173701	Colletotrichum sublineola
1	708197	708197	Colletotrichum tofieldiae
1	1216348	1216348	Colletotrichum zoysiae
1	796925	796925	Conidiobolus coronatus NRRL 28638
1	1314799	1314799	Conidiobolus thromboides FSU 785
1	172190	172190	Coniella
1	177197	177197	Coniochaeta ligniaria
1	177197	177197	Coniochaeta ligniaria
1	1571157	1571157	Coniochaeta sp. 2T2.1
1	1450552	1450552	Coniochaeta sp. PMI_546
1	85977	85977	Coniophora olivacea
1	741705	741705	Coniophora puteana RWD-64-598 SS2
1	1168221	1168221	Coniosporium apollinis CBS 100218
1	980116	980116	Coprinellus angulatus
1	71717	71717	Coprinellus micaceus
1	575509	575509	Coprinellus pellucidus
1	5346	5346	Coprinopsis cinerea
1	1132390	1132390	Coprinopsis cinerea AmutBmut pab1-1
1	230819	230819	Coprinopsis marcescibilis
1	71723	71723	Coprinopsis sclerotiger
1	983644	983644	Cordyceps militaris CM01
1	45810	45810	Corollospora maritima
1	1149754	1149754	Cortinarius glaucopus AT 2004 276
1	59586	59586	Corynespora cassiicola
1	1954473	1954473	Crassisporium funariophilum
1	179855	179855	Crepidotus variabilis
1	708437	708437	Cronartium quercuum f. sp. fusiforme G11
1	68775	68775	Crucibulum laeve
1	660469	660469	Cryphonectria parasitica EP155
1	57679	57679	Cutaneotrichosporon curvatus
1	235443	235443	Cryptococcus neoformans var. grubii H99
1	214684	214684	Cryptococcus neoformans var. neoformans JEC21
1	104414	104414	Solicoccozyma terricola
1	89929	89929	Naganishia vishniacii
1	104416	104416	Filobasidium wieringae
1	940279	940279	Cryptodiaporthe populea
1	1907526	1907526	Cryptodiaporthe sp. AZ0812
1	45142	45142	Cucurbitaria berberidis
1	76405	76405	Cunninghamella echinulata
1	68777	68777	Cyathus striatus
1	983966	983966	Cyberlindnera jadinii NRRL Y-1542
1	394432	394432	Cylindrobasidium torrendii
1	1220924	1220924	Cyphellophora europaea CBS 101466
1	467946	467946	Cystostereum murrayi
1	1883072	1883072	Cytidiella melzeri
1	252740	252740	Valsa sordida
1	1858805	1858805	Dacryopinax primogenitus
1	1079267	1079267	Dactylonectria estremocensis
1	1314783	1314783	Daedalea quercina L-15889
1	1001832	1001832	Daldinia sp. EC12
1	284592	284592	Debaryomyces hansenii CBS767
1	184978	184978	Decorospora gaudefroyi
1	747657	747657	Brettanomyces bruxellensis CBS 2499
1	1504671	1504671	Delitschia confertaspora
1	147560	147560	Delphinella strobiligena
1	1314803	1314803	Dendrothele bispora
1	256645	256645	Dendryphion nanum
1	1883078	1883078	Dentipellis sp. KUC8613
1	1214573	1214573	Diaporthe ampelina
1	114155	114155	Dichomitus squalens
1	114155	114155	Dichomitus squalens
1	732165	732165	Dichomitus squalens LYAD-421 SS1
1	114155	114155	Dichomitus squalens
1	101130	101130	Dichotomocladium elegans
1	1150837	1150837	Didymella exigua CBS 183.55
1	259522	259522	Didymella maydis
1	372059	372059	Didymocrea sadasivanii
1	215637	215637	Dimargaris cristalligena
1	603311	603311	Dioszegia cryoxerica
1	420778	420778	Diplodia seriata
1	1314786	1314786	Dissoconium aciculare CBS 342.82
1	1392245	1392245	Dothidotthia symphoricarpi CBS 119687
1	675120	675120	Dothistroma septosporum NZE10
1	239200	239200	Earliella scabrosa
1	302913	302913	Elsinoe ampelina
1	284813	284813	Encephalitozoon cuniculi GB-M1
1	907965	907965	Encephalitozoon hellem ATCC 50504
1	876142	876142	Encephalitozoon intestinalis ATCC 50506
1	1178016	1178016	Encephalitozoon romaleae SJ-2008
1	1263415	1263415	Endocarpon pusillum Z07020
1	481877	481877	Enterocytozoon bieneusi H348
1	97380	97380	Entoleuca mammata
1	281842	281842	Entophlyctis helioformis
1	1392243	1392243	Eremomyces bilateralis CBS 781.70
1	284811	284811	Eremothecium gossypii ATCC 10895
1	52586	52586	Erysiphe necator
1	1397323	1397323	Erythrobasidium hasegawianum ATCC 9536
1	1388766	1388766	Aspergillus ruber CBS 135680
1	1287681	1287681	Eutypa lata UCREL1
1	5219	5219	Exidia glandulosa
1	1493668	1493668	Exobasidium maculosum
1	1314671	1314671	Exobasidium vaccinii MPITM
1	91920	91920	Exophiala alcalophila
1	91920	91920	Exophiala alcalophila
1	1182545	1182545	Exophiala aquamarina CBS 119918
1	858893	858893	Exophiala dermatitidis NIH/UT8656
1	212818	212818	Exophiala mesophila
1	215243	215243	Exophiala oligosperma
1	1016849	1016849	Exophiala sideris
1	91928	91928	Exophiala spinifera
1	348802	348802	Exophiala xenobiotica
1	5610	5610	Fellomyces penicillatus
1	914049	914049	Fenestella fenestrata
1	1329386	1329386	Fennellomyces sp. T-0311
1	1078123	1078123	Fibroporia radiculosa TFFH 294
1	57688	57688	Fibulobasidium inconspicuum
1	436010	436010	Fibularhizoctonia sp. CBS 109695
1	1128425	1128425	Fistulina hepatica ATCC 64428
1	40442	40442	Fomes fomentarius
1	694068	694068	Fomitiporia mediterranea MF3/22
1	40450	40450	Piptoporus betulinus
1	40483	40483	Fomitopsis pinicola
1	34475	34475	Fomitopsis rosea
1	254056	254056	Fonsecaea monophora
1	1442371	1442371	Fonsecaea multimorphosa CBS 102226
1	856822	856822	Fonsecaea nubica
1	1442368	1442368	Fonsecaea pedrosoi CBS 271.37
1	249398	249398	Fusarium commune
1	61235	61235	Fusarium equiseti
1	1279085	1279085	Fusarium fujikuroi IMI 58289
1	5518	5518	Fusarium graminearum
1	5507	5507	Fusarium oxysporum
1	426428	426428	Fusarium oxysporum f. sp. lycopersici 4287
1	1028729	1028729	Fusarium pseudograminearum CS3096
1	48865	48865	Fusarium redolens
1	169388	169388	Fusarium solani
1	334819	334819	Fusarium verticillioides 7600
1	109897	109897	Gaertneriomyces semiglobifer
1	644352	644352	Gaeumannomyces tritici R3-111a-1
1	685588	685588	Galerina marginata CBS 339.88
